"STORE_ID","STORE_NAME","BUSINESS_ID","MERCHANT_STORE_ID","TRANSACTIONS_START_LOCAL_DATE","TRANSACTIONS_END_LOCAL_DATE","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX","DRIVE_CHARGE","MARKETING_FEES","STOREFRONT_TRANSACTION_FEES","STOREFRONT_DELIVERY_FEES","STAFF_TIPS","ERROR_CHARGES","ADJUSTMENTS","TOTAL_BEFORE_ADJUSTMENTS","ESTIMATED_PAYOUT","TAX_REMITTED_BY_DOORDASH_TO_STATE","SUBTOTAL_FOR_TAX","DOORDASH_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","MERCHANT_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT"
1344936,"Cheebo Santa Monica",52235,"NULL","2021-09-21","2021-09-26",436.75,41.52,131.05,0.00,0.00,0.00,0.00,0.00,0.00,15.39,6.35,331.83,338.18,0.00,436.75,0.00,0.00
1345050,"Coast Burger (Santa Monica)",467218,"NULL","2021-09-23","2021-09-26",125.50,11.93,37.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.77,99.77,0.00,125.50,0.00,0.00
1346024,"Chuck's Chicken & Waffles Santa Monica",288674,"NULL","2021-09-23","2021-09-25",130.45,12.39,39.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.70,103.70,0.00,130.45,0.00,0.00
1354311,"LA Greens Santa Monica",362431,"NULL","2021-09-21","2021-09-25",74.15,7.05,22.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.94,58.94,0.00,74.15,0.00,0.00
1354326,"Ma Soul's Chicken And Waffles Santa Monica",287055,"NULL","2021-09-22","2021-09-26",244.05,23.20,73.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.01,194.01,0.00,244.05,0.00,0.00
1354337,"Hollywood Wraps Santa Monica",209813,"NULL","2021-09-21","2021-09-26",195.20,18.55,58.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.17,155.17,0.00,195.20,0.00,0.00
1354371,"Fisher & Sons Fish & Chips Santa Monica",470278,"NULL","2021-09-23","2021-09-25",62.30,5.92,18.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.52,49.52,0.00,62.30,0.00,0.00
1355506,"Morning After Breakfast Santa Monica",466789,"NULL","2021-09-21","2021-09-25",136.40,12.97,40.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108.45,108.45,0.00,136.40,0.00,0.00
1355546,"Nacho Lords Santa Monica",545619,"NULL","2021-09-20","2021-09-23",66.60,6.34,19.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.95,52.95,0.00,66.60,0.00,0.00
1357052,"Nocturnal Eats Santa Monica",185264,"NULL","2021-09-20","2021-09-25",191.60,18.23,57.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.33,152.33,0.00,191.60,0.00,0.00
1357057,"Oscars Pancake Bar Santa Monica",251607,"NULL","2021-09-21","2021-09-26",755.15,71.77,226.59,0.00,0.00,0.00,0.00,0.00,0.00,5.93,47.43,594.40,641.83,0.00,755.15,0.00,0.00
1357178,"No Joke PBJ (Pico Blvd - Los Angeles)",558892,"NULL","2021-09-21","2021-09-26",260.15,24.73,78.08,0.00,0.00,0.00,0.00,0.00,0.00,8.29,0.00,198.51,198.51,0.00,260.15,0.00,0.00
1358745,"Seaside Burritos And Tacos Santa Monica",466228,"NULL","2021-09-24","2021-09-25",167.25,15.89,50.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.95,132.95,0.00,167.25,0.00,0.00
1358938,"Sierra Bonita Mexican Grill Santa Monica",251573,"NULL","2021-09-20","2021-09-26",510.50,48.53,153.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,405.82,405.82,0.00,510.50,10.00,0.00
1416685,"Cheebo Express",393555,"NULL","2021-09-23","2021-09-23",19.90,1.89,5.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.82,15.82,0.00,19.90,0.00,0.00
1416920,"Angel Pasta K Town",575775,"NULL","2021-09-21","2021-09-25",235.10,22.36,67.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.49,189.58,199.07,0.00,235.10,2.39,0.00
1416923,"Angel Wings K Town",251575,"NULL","2021-09-20","2021-09-25",175.30,16.67,52.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.36,139.36,0.00,175.30,0.00,0.00
1416925,"Morning After Breakfast KTown",466789,"NULL","2021-09-22","2021-09-26",145.60,13.83,38.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,121.26,121.26,0.00,145.60,0.00,0.00
1416930,"Cheebo's Burger Stand KTown",252489,"NULL","2021-09-20","2021-09-23",210.75,20.03,63.23,0.00,0.00,0.00,0.00,0.00,0.00,15.83,0.00,151.72,151.72,0.00,210.75,0.00,0.00
1416931,"Burger Bitch K Town",467990,"NULL","2021-09-20","2021-09-25",129.25,12.29,36.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105.45,105.45,0.00,129.25,0.00,0.00
1416932,"The Codfather KTown",468419,"NULL","2021-09-22","2021-09-24",136.60,12.98,40.98,0.00,0.00,0.00,0.00,0.00,0.00,19.44,0.00,89.16,89.16,0.00,136.60,0.00,0.00
1416933,"Hollywood Wraps K Town",209813,"NULL","2021-09-21","2021-09-23",167.10,15.88,50.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.83,132.83,0.00,167.10,0.00,0.00
1416934,"Nocturnal Eats K Town",185264,"NULL","2021-09-20","2021-09-24",345.05,32.80,103.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,274.31,274.31,0.00,345.05,0.00,0.00
1416935,"Chuck's Chicken & Waffles K Town",288674,"NULL","2021-09-21","2021-09-24",72.80,6.92,21.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.87,57.87,0.00,72.80,0.00,0.00
1416936,"Ma Soul's Chicken And Waffles K Town",287055,"NULL","2021-09-21","2021-09-25",59.25,5.63,17.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.10,47.10,0.00,59.25,0.00,0.00
1416937,"Nacho Lords KTown",545619,"NULL","2021-09-21","2021-09-25",89.40,8.50,26.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.07,71.07,0.00,89.40,0.00,0.00
1416938,"LA Greens K Town",362431,"NULL","2021-09-23","2021-09-25",63.70,6.05,19.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.64,50.64,0.00,63.70,0.00,0.00
1416939,"Oscars Pancake Bar K Town",251607,"NULL","2021-09-21","2021-09-26",267.70,25.45,80.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,212.83,212.83,0.00,267.70,0.00,0.00
1416941,"Fisher & Sons Fish and Chips KTown",470278,"NULL","2021-09-24","2021-09-25",119.90,11.40,35.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.31,95.31,0.00,119.90,0.00,0.00
1424216,"Surf City Wings Santa Monica",294695,"NULL","2021-09-21","2021-09-23",102.45,9.74,30.75,0.00,0.00,0.00,0.00,0.00,0.00,10.28,0.00,71.16,71.16,0.00,102.45,0.00,0.00
1424250,"Pipeline Wraps K Town",350481,"NULL","2021-09-21","2021-09-25",105.45,10.02,31.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.82,83.82,0.00,105.45,0.00,0.00
1424386,"Woofers Hot Dogs K Town",466820,"NULL","2021-09-21","2021-09-23",94.40,8.97,28.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.04,75.04,0.00,94.40,0.00,0.00
1424393,"VU : DU Wings K Town",468960,"NULL","2021-09-20","2021-09-20",42.75,4.06,12.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.98,33.98,0.00,42.75,0.00,0.00
1424439,"Seaside Burritos and Tacos K Town",466228,"NULL","2021-09-21","2021-09-25",117.50,11.18,35.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.41,93.41,0.00,117.50,0.00,0.00
1424699,"Sierra Bonita Mexican Grill K Town",251573,"NULL","2021-09-22","2021-09-22",46.80,4.45,14.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.21,37.21,0.00,46.80,0.00,0.00
1429215,"Welders Grilled Cheese K Town",404303,"NULL","2021-09-20","2021-09-26",359.80,34.20,107.97,0.00,0.00,0.00,0.00,0.00,0.00,5.55,0.00,280.48,280.48,0.00,359.80,9.78,0.00
1429305,"The Codfather (Pico Blvd)",468419,"NULL","2021-09-23","2021-09-23",29.35,2.79,8.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.33,23.33,0.00,29.35,0.00,0.00
1429320,"VU : DU Wings Santa Monica",468960,"NULL","2021-09-21","2021-09-22",41.80,3.98,12.55,0.00,0.00,0.00,0.00,0.00,0.00,8.69,0.00,24.54,24.54,0.00,41.80,0.00,0.00
1429336,"Welders Grilled Cheese Santa Monica",404303,"NULL","2021-09-21","2021-09-26",829.45,78.83,248.90,0.00,0.00,0.00,0.00,0.00,0.00,54.62,0.00,604.76,604.76,0.00,829.45,0.00,0.00
1429353,"Woofers Hot Dogs Santa Monica",466820,"NULL","2021-09-21","2021-09-25",76.50,7.28,22.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.83,60.83,0.00,76.50,0.00,0.00
1429443,"Sunset Beach Fish & Chips Santa Monica",251112,"NULL","2021-09-20","2021-09-25",266.80,25.36,69.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,222.84,222.84,0.00,266.80,0.00,0.00
1429452,"Sunset Beach Fish & Chips K Town",251112,"NULL","2021-09-21","2021-09-26",212.00,20.15,63.62,0.00,0.00,0.00,0.00,0.00,0.00,30.84,0.00,137.69,137.69,0.00,212.00,0.00,0.00
1525738,"Cheebo Express (Pine Ave)",393555,"NULL","2021-09-20","2021-09-26",236.10,24.19,35.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224.85,224.85,0.00,236.10,0.00,0.00
1525777,"Cheebo's Burger Stand (Pine Ave)",252489,"NULL","2021-09-21","2021-09-25",85.50,8.77,12.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81.45,81.45,0.00,85.50,0.00,0.00
1525839,"Angel Pasta (Pine Ave)",575775,"NULL","2021-09-21","2021-09-25",233.00,23.86,34.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221.90,221.90,0.00,233.00,0.00,0.00
1525863,"The Codfather (Pine Ave)",468419,"NULL","2021-09-26","2021-09-26",48.30,4.95,7.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,46.00,0.00,48.30,0.00,0.00
